disease,symptoms,tests,specialist to Consult,urgency 
Severe Idiopathic pulmonary fibrosis,"Acute severe shortness of breath, pleuritic chest pain and hypoxia are red flags indicating urgent respiratory compromise. Patients may also report gradual onset or episodic flares depending on the disease course.","Chest X-ray and spirometry for chronic lung disease; CT chest for interstitial or nodular disease. Sputum culture, pulse oximetry and arterial blood gases when hypoxia is suspected. Further targeted testing is guided by clinical findings and specialist consultation.",Pulmonologist,High
Post-infectious COPD (complicated by sepsis),"Acute severe shortness of breath, pleuritic chest pain and hypoxia are red flags indicating urgent respiratory compromise. Patients may also report gradual onset or episodic flares depending on the disease course.","Chest X-ray and spirometry for chronic lung disease; CT chest for interstitial or nodular disease. Sputum culture, pulse oximetry and arterial blood gases when hypoxia is suspected. Further targeted testing is guided by clinical findings and specialist consultation.",Pulmonologist,Emergency
Severe Bronchiectasis,"Persistent cough, dyspnea, or wheeze; sputum production when infective or inflammatory. Exertional breathlessness and chest tightness can indicate chronic disease. Patients may also report gradual onset or episodic flares depending on the disease course.","Chest X-ray and spirometry for chronic lung disease; CT chest for interstitial or nodular disease. Sputum culture, pulse oximetry and arterial blood gases when hypoxia is suspected. Further targeted testing is guided by clinical findings and specialist consultation.",Pulmonologist,High
Mild Pleural effusion (with obstruction),"Persistent cough, dyspnea, or wheeze; sputum production when infective or inflammatory. Exertional breathlessness and chest tightness can indicate chronic disease. Patients may also report gradual onset or episodic flares depending on the disease course.","Chest X-ray and spirometry for chronic lung disease; CT chest for interstitial or nodular disease. Sputum culture, pulse oximetry and arterial blood gases when hypoxia is suspected. Further targeted testing is guided by clinical findings and specialist consultation.",Pulmonologist,Moderate
Severe ARDS (with obstruction),"Acute severe shortness of breath, pleuritic chest pain and hypoxia are red flags indicating urgent respiratory compromise. Patients may also report gradual onset or episodic flares depending on the disease course.","Chest X-ray and spirometry for chronic lung disease; CT chest for interstitial or nodular disease. Sputum culture, pulse oximetry and arterial blood gases when hypoxia is suspected. Further targeted testing is guided by clinical findings and specialist consultation.",Pulmonologist,High
Drug-induced Bronchiectasis (with hemorrhage),"Persistent cough, dyspnea, or wheeze; sputum production when infective or inflammatory. Exertional breathlessness and chest tightness can indicate chronic disease. Patients may also report gradual onset or episodic flares depending on the disease course.","Chest X-ray and spirometry for chronic lung disease; CT chest for interstitial or nodular disease. Sputum culture, pulse oximetry and arterial blood gases when hypoxia is suspected. Further targeted testing is guided by clinical findings and specialist consultation.",Pulmonologist,Low
Chronic Pleural effusion,"Persistent cough, dyspnea, or wheeze; sputum production when infective or inflammatory. Exertional breathlessness and chest tightness can indicate chronic disease. Patients may also report gradual onset or episodic flares depending on the disease course.","Chest X-ray and spirometry for chronic lung disease; CT chest for interstitial or nodular disease. Sputum culture, pulse oximetry and arterial blood gases when hypoxia is suspected. Further targeted testing is guided by clinical findings and specialist consultation.",Pulmonologist,Low
Mild Asthma (with secondary infection),"Acute severe shortness of breath, pleuritic chest pain and hypoxia are red flags indicating urgent respiratory compromise. Patients may also report gradual onset or episodic flares depending on the disease course.","Chest X-ray and spirometry for chronic lung disease; CT chest for interstitial or nodular disease. Sputum culture, pulse oximetry and arterial blood gases when hypoxia is suspected. Further targeted testing is guided by clinical findings and specialist consultation.",Pulmonologist,High
Fulminant Asthma (with secondary infection),"Acute severe shortness of breath, pleuritic chest pain and hypoxia are red flags indicating urgent respiratory compromise. Patients may also report gradual onset or episodic flares depending on the disease course.","Chest X-ray and spirometry for chronic lung disease; CT chest for interstitial or nodular disease. Sputum culture, pulse oximetry and arterial blood gases when hypoxia is suspected. Further targeted testing is guided by clinical findings and specialist consultation.",Pulmonologist,High
Mild Asthma (with obstruction),"Persistent cough, dyspnea, or wheeze; sputum production when infective or inflammatory. Exertional breathlessness and chest tightness can indicate chronic disease. Patients may also report gradual onset or episodic flares depending on the disease course.","Chest X-ray and spirometry for chronic lung disease; CT chest for interstitial or nodular disease. Sputum culture, pulse oximetry and arterial blood gases when hypoxia is suspected. Further targeted testing is guided by clinical findings and specialist consultation.",Pulmonologist,Low
Mild Idiopathic pulmonary fibrosis (with metastasis),"Persistent cough, dyspnea, or wheeze; sputum production when infective or inflammatory. Exertional breathlessness and chest tightness can indicate chronic disease. Patients may also report gradual onset or episodic flares depending on the disease course.","Chest X-ray and spirometry for chronic lung disease; CT chest for interstitial or nodular disease. Sputum culture, pulse oximetry and arterial blood gases when hypoxia is suspected. Further targeted testing is guided by clinical findings and specialist consultation.",Pulmonologist,High
